Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      2.93,        3070,         4.0683,      2.120256,      2.0519,        0.05
      2.94,        3086,         4.0895,      2.120256,      2.0491,        0.09
      2.95,        3103,         4.1120,      2.252769,      2.0491,        0.05
      2.96,        3119,         4.1332,      2.120304,      2.0509,        0.05
      2.97,        3136,         4.1557,      2.252769,      2.0528,        0.05
      2.98,        3152,         4.1769,      2.120256,      2.0528,        0.05
      2.99,        3169,         4.1994,      2.252769,      2.0566,        0.05
      3.00,        3186,         4.2220,      2.252769,      2.0509,        0.05
      3.01,        3202,         4.2432,      2.120256,      2.0519,        0.05
      3.02,        3219,         4.2657,      2.252769,      2.0519,        0.05
      3.03,        3236,         4.2882,      2.252817,      2.0519,        0.05
      3.04,        3252,         4.3094,      2.120256,      2.0463,        0.05
      3.05,        3269,         4.3320,      2.252769,      2.0379,        0.03
      3.06,        3286,         4.3545,      2.252769,      2.0519,        0.05
      3.07,        3302,         4.3757,      2.120256,      2.0538,        0.06
      3.08,        3319,         4.3982,      2.252769,      2.0519,        0.06
      3.09,        3336,         4.4207,      2.252769,      2.0491,        0.06
      3.10,        3352,         4.4419,      2.120304,      2.0481,        0.05
      3.11,        3369,         4.4645,      2.252769,      2.0500,        0.02
      3.12,        3385,         4.4870,      2.252769,      2.0547,        0.09
      3.13,        3402,         4.5082,      2.120256,      2.0509,        0.05
      3.14,        3419,         4.5307,      2.252769,      2.0491,        0.01
      3.15,        3435,         4.5519,      2.120304,      2.0547,        0.03
      3.16,        3452,         4.5745,      2.252769,      2.0528,        0.05
      3.17,        3468,         4.5957,      2.120256,      2.0519,        0.05
      3.18,        3484,         4.6169,      2.120256,      2.0509,        0.05
      3.19,        3501,         4.6394,      2.252769,      2.0547,        0.05
      3.20,        3518,         4.6619,      2.252769,      2.0509,        0.05
      3.21,        3534,         4.6831,      2.120304,      2.0528,        0.05
      3.22,        3551,         4.7057,      2.252769,      2.0528,        0.05
      3.23,        3567,         4.7269,      2.120256,      2.0519,        0.03
      3.24,        3584,         4.7494,      2.252769,      2.0528,        0.09
      3.25,        3600,         4.7706,      2.120256,      2.0538,        0.05
      3.26,        3617,         4.7931,      2.252769,      2.0538,        0.05
      3.27,        3633,         4.8143,      2.120304,      2.0509,        0.05
      3.28,        3650,         4.8368,      2.252769,      2.0528,        0.05
      3.29,        3666,         4.8581,      2.120256,      2.0509,        0.05
      3.30,        3683,         4.8806,      2.252769,      2.0509,        0.07
      3.31,        3699,         4.9018,      2.120256,      2.0500,        0.05
      3.32,        3716,         4.9243,      2.252817,      2.0519,        0.05
      3.33,        3732,         4.9455,      2.120209,      2.0491,        0.05
      3.34,        3749,         4.9680,      2.252817,      2.0491,        0.06
      3.35,        3765,         4.9892,      2.120256,      0.0000,        0.05
Motor voltage is set to 0.000V
      3.36,        3781,         5.0104,      2.120256,      0.0000,        0.06
      3.37,        3796,         5.0303,      1.987743,      0.0000,        0.03
      3.38,        3810,         5.0489,      1.855230,      0.0000,        0.04
      3.39,        3822,         5.0648,      1.590157,      0.0000,        0.05
      3.40,        3834,         5.0807,      1.590204,      0.0000,        0.01
      3.41,        3845,         5.0953,      1.457691,      0.0000,        0.01
      3.42,        3854,         5.1072,      1.192665,      0.0000,        0.04
      3.43,        3863,         5.1191,      1.192665,      0.0000,        0.04
      3.44,        3870,         5.1284,      0.927591,      0.0000,        0.05
      3.45,        3877,         5.1377,      0.927639,      0.0000,        0.05
      3.46,        3883,         5.1456,      0.795078,      0.0000,        0.03
      3.47,        3885,         5.1483,      0.265026,      0.0000,        0.05
      3.48,        3891,         5.1562,      0.795078,      0.0000,        0.05
      3.49,        3891,         5.1562,      0.000000,      0.0000,        0.03
      3.50,        3888,         5.1522,     -0.397539,      0.0000,        0.05
      3.51,        3885,         5.1483,     -0.397539,      0.0000,        0.09
      3.52,        3889,         5.1536,      0.530100,      0.0000,        0.04
      3.53,        3888,         5.1522,     -0.132561,      0.0000,        0.08
      3.54,        3886,         5.1496,     -0.265026,      0.0000,        0.05
      3.55,        3889,         5.1536,      0.397587,      0.0000,        0.05
      3.56,        3887,         5.1509,     -0.265074,      0.0000,        0.08
      3.57,        3888,         5.1522,      0.132513,      0.0000,        0.04
      3.58,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.59,        3887,         5.1509,     -0.132513,      0.0000,        0.03
      3.60,        3888,         5.1522,      0.132513,      0.0000,        0.05
      3.61,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.62,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.63,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.64,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.65,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.66,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.67,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.68,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.69,        3888,         5.1522,      0.000000,      0.0000,        0.03
      3.70,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.71,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.72,        3888,         5.1522,      0.000000,      0.0000,        0.03
      3.73,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.74,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.75,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.76,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.77,        3888,         5.1522,      0.000000,      0.0000,        0.06
      3.78,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.79,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.80,        3888,         5.1522,      0.000000,      0.0000,        0.09
      3.81,        3888,         5.1522,      0.000000,      0.0000,        0.03
      3.82,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.83,        3888,         5.1522,      0.000000,      0.0000,        0.03
      3.84,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.85,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.86,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.87,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.88,        3888,         5.1522,      0.000000,      0.0000,        0.02
      3.89,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.90,        3888,         5.1522,      0.000000,      0.0000,        0.05
